RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
4118,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41194,Vogel,,,,,,,BÜNDNIS 90/DIE GRÜNEN,München
4120,Kittelmann,,,,,,,CDU/CSU,
41224,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41225,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41233,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41248,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41249,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
4125,Schäfer,,,,,,,SPD,Offenburg
4127,Laufs,,,,Dr.,,,CDU/CSU,
41273,Stahl,,,,,,,SPD,Kempen
41274,Eylmann,,,,,,,CDU/CSU,
41277,Stahl,,,,,,,SPD,Kempen
41284,Stahl,,,,,,,SPD,Kempen
4129,Timm,weiblich,,,Dr.,,,SPD,
4131,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
4135,Miltner,,,,Dr.,,,CDU/CSU,
41357,Schmidt,weiblich,,,,,,SPD,Nürnberg
4137,Duve,,,,,,,SPD,
4140,Miltner,,,,Dr.,,,CDU/CSU,
41407,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41408,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41411,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41413,Timm,weiblich,,,Dr.,,,SPD,
41438,Enders,,,,Dr.,,,SPD,
4144,Miltner,,,,Dr.,,,CDU/CSU,
41441,Enders,,,,Dr.,,,SPD,
41446,Enders,,,,Dr.,,,SPD,
4147,Hauff,,,,Dr.,,,SPD,
4149,Schäfer,,,,,,,SPD,Offenburg
415,Reents,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41511,Huonker,,,,,,,SPD,
41513,Jobst,,,,Dr.,,,CDU/CSU,
