RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
114089,Briefs,,,Dr.,,,DIE LINKE.,
114091,Grünbeck,,,,,,FDP,
114093,Briefs,,,Dr.,,,DIE LINKE.,
114094,Struck,,,Dr.,,,SPD,
114095,Struck,,,Dr.,,,SPD,
114097,Grünbeck,,,,,,FDP,
114099,Roth,,,,,,SPD,
114101,Voigt,,,Dr.,,,CDU/CSU,Northeim
114109,Großmann,,,,,,SPD,
114111,Großmann,,,,,,SPD,
114113,Eimer,,,,,,FDP,Fürth
114120,Eimer,,,,,,FDP,Fürth
114124,Blank,,,Dr.,,,CDU/CSU,
114126,Möller,,,Dr.,,,CDU/CSU,
114127,Briefs,,,Dr.,,,DIE LINKE.,
114129,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114131,Müntefering,,,,,,SPD,
114133,Bohl,,,,,,CDU/CSU,
114134,Müntefering,,,,,,SPD,
114136,Müntefering,,,,,,SPD,
114138,Krziskewitz,,,,,,CDU/CSU,
114140,Briefs,,,Dr.,,,DIE LINKE.,
114146,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114149,Müller,,,,,,CDU/CSU,Wadern
114151,Müller,,,,,,CDU/CSU,Wadern
114153,Bulmahn,,,,,,SPD,
114154,Wiefelspütz,,,,,,SPD,
114155,Müller,,,,,,CDU/CSU,Wadern
114157,Larcher,,,,von,,SPD,
114159,Zywietz,,,,,,FDP,
114160,Müller,,,,,,CDU/CSU,Wadern
114162,Göhner,,,Dr.,,,CDU/CSU,
114164,Geis,,,,,,CDU/CSU,
114166,Wiefelspütz,,,,,,SPD,
114168,Geis,,,,,,CDU/CSU,
114170,Göhner,,,Dr.,,,CDU/CSU,
114172,Wiefelspütz,,,,,,SPD,
114174,Geis,,,,,,CDU/CSU,
114178,Bohl,,,,,,CDU/CSU,
114180,Göhner,,,Dr.,,,CDU/CSU,
114181,Hämmerle,,,,,,SPD,
114184,Opel,,,,,,SPD,
114184,Steiner,,,,,,SPD,
114186,Opel,,,,,,SPD,
114188,Gerster,,,,,,CDU/CSU,Mainz
114195,Weng,,,Dr.,,,FDP,Gerlingen
114196,Rüttgers,,,Dr.,,,CDU/CSU,
