RB_ID,KO_Name
2168,Eckart Kuhlwein [SPD]
2168,Peter Paterna [SPD]
2168,Stetten [CDU/CSU]
2168,Günter Graf [SPD]
2168,Conradi [SPD]
2168,Ingrid Matthäus-Maier [SPD]
2168,Arnulf Kriedner [CDU/CSU]
2168,Dr. Wolfgang Götzer [CDU/CSU]
2168,D. Voigt [Frankfurt] [SPD]
2168,Ingrid Matthäus-Maier [SPD]
2168,Dr. Uwe Küster [SPD]
2168,Dr. Jürgen Rüttgers [CDU/CSU]
2168,Dr. Liesel Hartenstein [SPD]
2168,Dr.-Ing. Dietmar Kansy [CDU/CSU]
2168,Detlef Kleinert [Hannover] [F.D.P.]
2168,Cronenberg [Arnsberg] [F.D.P.]
2168,Dietmar Kansy [CDU/CSU]
2168,Hans Georg Wagner [SPD]
2168,Dr. Uwe Küster [SPD]
2168,Dr. Walter Franz Altherr [CDU/CSU]
2168,Anke Fuchs [Köln] [SPD]
2168,Uta Würfel [F.D.P.]
2168,Rüttgers [CDU/CSU]
2168,Siegmar Mosdorf [SPD]
2168,Lieselott Blunck [Uetersen] [SPD]
2168,Markus Meckel [SPD]
2168,Fuchs [Köln] [SPD]
2168,Dr.-Ing. Dietmar Kansy [CDU/CSU]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Detlev von Larcher [SPD]
2168,Ingrid Matthäus-Maier [SPD]
2168,Helmut Wieczorek [Duisburg] [SPD]
2168,Klein [München] [CDU/CSU]
2168,Dr. Wolfgang Freiherr von Stetten [CDU/CSU]
2168,Otto Schily [SPD]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Fuchs [Köln] [SPD]
2168,Dr. Dagmar Enkelmann [PDS]
2168,Anke Fuchs [Köln] [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Kauder [CDU/CSU]
2168,Günter Verheugen [SPD]
2168,SPD - Anke Fuchs [Köln] [SPD]
2168,einen Beifall wert! - Joseph Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Dr. Gregor Gysi [PDS]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Bundeskanzler? - Joseph Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Hintze [CDU/CSU]
2168,Heidemarie Wieczorek-Zeul [SPD]
2168,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,und der SPD - Dr. Olaf Feldmann [F.D.P.]
2168,Büttner [Ingolstadt] [SPD]
2168,schwach! - Ingrid Matthäus-Maier [SPD]
2168,Günther Bredehorn [F.D.P.]
2168,Hanna Wolf [SPD]
2168,Ing. Dietmar Kansy [CDU/CSU]
2168,Dr. Dagmar Enkelmann [PDS]
2168,Otto Schily [SPD]
2168,Detlev von Larcher [SPD]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Dr. Burkhard Hirsch [F.D.P.]
2168,Leider wahr! - Uta Titze-Stecher [SPD]
2168,Anke Fuchs [Köln] [SPD]
2168,Rönsch [Wiesbaden] [CDU/CSU]
2168,Widerspruch bei der SPD - Detlev von Larcher [SPD]
2168,und der F.D.P. - Doris Odendahl [SPD]
2168,Kansy [CDU/CSU]
2168,Ina Albowitz [F.D.P.]
2168,"ganz wesentlich, wie hoch der Investitionsbedarf noch ist! - Dr. Uwe Küster [SPD]"
2168,Gleichfalls! - Doris Odendahl [SPD]
2168,Detlev von Larcher [SPD]
