WP;NACHNAME;VORNAME;BERUF;ANREDE_TITEL;PRAEFIX;ADEL;PARTEI_KURZ;ORTSZUSATZ;GESCHLECHT;ID
1;Kaiser;Jakob;Bundesminister;;;;CDU/CSU;;männlich;11001053
1;Kalbfell;Oskar;Mechaniker, Unternehmer, Oberbürgermeister;;;;SPD;;männlich;11001056
1;Kalbitzer;Hellmut;Kaufmann;;;;SPD;;männlich;11001057
1;Kalinke;Margot;Leitende Angestellte, Sozialpolitikerin;;;;CDU/CSU;;weiblich;11001058
1;Karpf;Hugo;Gewerkschaftssekretär;;;;CDU/CSU;;männlich;11001067
1;Kather;Linus;Rechtsanwalt;Dr.;;;CDU/CSU;;männlich;11001072
1;Keilhack;Irma;Hausfrau;;;;SPD;;weiblich;11001076
1;Keller;Wilfried;Jurist;Dr.;;;GB/BHE;;männlich;11001080
1;Kemmer;Emil;Angestellter;;;;CDU/CSU;;männlich;11001082
1;Kemmer;Emil;Angestellter;;;;CDU/CSU;Bamberg;männlich;11001082
1;Kemper;Heinrich;Textilkaufmann;;;;CDU/CSU;;männlich;11001084
1;Kemper;Heinrich;Textilkaufmann;;;;CDU/CSU;Trier;männlich;11001084
1;Kern;Karl;Pfarrer, Studienrat;;;;CDU/CSU;;männlich;11001086
1;Keuning;Dietrich;Schlosservorarbeiter;;;;SPD;;männlich;11001090
1;Kiesinger;Kurt Georg;Rechtsanwalt;Dr.;;;CDU/CSU;;männlich;11001096
1;Kinat;Georg Richard;Angestellter i. R.;;;;SPD;;männlich;11001099
1;Kipp-Kaule;Liesel;Kaufmännische Angest., Gewerkschaftssekretärin, Sachbearbeiterin IG Textil-Bekl.;;;;SPD;;weiblich;11001100
1;Klabunde;Erich;Journalist;;;;SPD;;männlich;11001107
1;Kleindinst;Josef Ferdinand;Stadtrechtsrat;Dr.;;;CDU/CSU;;männlich;11001120
1;Klinge;Friedrich;Jurist, Verwaltungsbeamter, Oberbürgermeister;;;;DP;;männlich;11001131
1;Kneipp;Otto;Dipl.-Landwirt;Dr.;;;FDP;;männlich;11001140
1;Knoeringen;Waldemar;Parteifunktionär, Bibliothekar;;;;SPD;;männlich;11001142
1;Knothe;Willy;Journalist;;;;SPD;;männlich;11001144
1;Koch;Harald;Rechtsanwalt;Dr.;;;SPD;;männlich;11001148
1;Kohl;Georg;Redakteur, Verleger, Unternehmer;;;;FDP;Heilbronn;männlich;11001164
1;Kohl;Rudolf;Schriftsetzer, Arbeitsminister;;;;KPD;Stuttgart;männlich;11001166
1;Köhler;Erich;Präsident DBT a.D., Wirtschaftsberater, Volkswirt;Dr.;;;CDU/CSU;;männlich;11001150
1;Königswarter;Wilhelm;Industriekaufmann;Dr.;;;SPD;;männlich;11001158
1;Kopf;Hermann;Rechtsanwalt;Dr.;;;CDU/CSU;;männlich;11001179
1;Korspeter;Lisa;Jugendfürsorgerin, Hausfrau;;;;SPD;;weiblich;11001183
1;Krahnstöver;Anni;Sekretärin;;;;SPD;;weiblich;11001192
1;Krause;Paul;Redakteur;;;;DZP;;männlich;11001204
1;Kreyssig;Gerhard;Volkswirtschaftler;Dr.;;;SPD;;männlich;11001215
1;Kriedemann;Herbert;Angestellter, Landwirt;;;;SPD;;männlich;11001216
1;Krone;Heinrich;Bundesminister für die Angelegenheiten des Bundesverteidigungsrates;Dr.;;;CDU/CSU;;männlich;11001225
1;Kuhlemann;Christian;Dipl.-Ing, Handelskammerpräsident;;;;DP;;männlich;11001251
1;Kühling;Georg;Landwirt;;;;CDU/CSU;;männlich;11001241
1;Kühn;Walther;Regierungspräsident;;;;FDP;;männlich;11001246
1;Kühn;Walther;Regierungspräsident;;;;FDP;Bonn;männlich;11001246
1;Kuntscher;Ernst;Angestellter;;;;CDU/CSU;;männlich;11001255
1;Kunze;Johannes;Diplom Kaufmann, Verwaltungsdirektor i. R.;;;;CDU/CSU;;männlich;11001259
1;Kunze;Johannes;Diplom Kaufmann, Verwaltungsdirektor i. R.;;;;CDU/CSU;Bielefeld;männlich;11001259
1;Kurlbaum;Georg;Dipl.-Ingenieur;;;;SPD;;männlich;11001261
1;Laforet;Wilhelm;Hochschullehrer, Jurist;Dr.;;;CDU/CSU;;männlich;11001267
1;Lampl;Roman;Landwirt, Verwaltungsbeamter;;;;FU;;männlich;11001277
1;Lampl;Roman;Landwirt, Verwaltungsbeamter;;;;FU;;männlich;11001277
1;Lange;Erwin;Schriftsetzer, Betriebsleiter;;;;SPD;;männlich;11001283
1;Lange;Erwin;Schriftsetzer, Betriebsleiter;;;;SPD;Essen;männlich;11001283
1;Langer;Erich;Sportlehrer;;;;WAV;;männlich;11001286
1;Langer;Erich;Sportlehrer;;;;WAV;;männlich;11001286
